"","transcript","ORF","cluster","bE","bJ","bA","SP","No.TM","KO","Kegg"
"26112","NVE14613","Gene.22440::NVE14613::g.22440::m.22440","cluster5911",0,0,0,"N",0,"",""
"26113","NVE14614","Gene.22441::NVE14614::g.22441::m.22441","cluster2785",0,0,0,"N",0,"",""
"26114","NVE14614","Gene.22442::NVE14614::g.22442::m.22442","cluster8203",0,0,0,"N",0,"",""
"26115","NVE14618","Gene.22446::NVE14618::g.22446::m.22446","cluster3513",0,0,0,"N",0,"",""
"26116","NVE14619","Gene.22447::NVE14619::g.22447::m.22447","cluster1761",0,0,0,"N",1,"",""
"26117","NVE14619","Gene.22448::NVE14619::g.22448::m.22448","cluster1",0,0,0,"N",0,"",""
"26118","NVE14620","Gene.22449::NVE14620::g.22449::m.22449","cluster1746",0,0,0,"N",1,"",""
"26119","NVE14620","Gene.22450::NVE14620::g.22450::m.22450","cluster2549",0,0,0,"N",1,"",""
"26120","NVE14624","Gene.22454::NVE14624::g.22454::m.22454","cluster23",0,0,0,"N",0,"",""
"26121","NVE14625","Gene.22455::NVE14625::g.22455::m.22455","cluster23",0,0,0,"N",1,"",""
"26122","NVE14627","Gene.22456::NVE14627::g.22456::m.22456","cluster823",0,0,1,"N",0,"",""
"26123","NVE14627","Gene.22457::NVE14627::g.22457::m.22457","cluster4416",0,0,1,"N",0,"",""
"26124","NVE14630","Gene.22458::NVE14630::g.22458::m.22458","cluster23",0,0,0,"N",0,"",""
"26125","NVE14631","Gene.22459::NVE14631::g.22459::m.22459","cluster23",0,0,0,"N",0,"",""
"26126","NVE14632","Gene.22460::NVE14632::g.22460::m.22460","cluster23",0,0,0,"N",0,"",""
"26127","NVE14633","Gene.22461::NVE14633::g.22461::m.22461","cluster23",0,0,0,"N",0,"",""
"26129","NVE14636","Gene.22465::NVE14636::g.22465::m.22465","cluster3049",0,0,0,"N",0,"",""
"26130","NVE14637","Gene.22466::NVE14637::g.22466::m.22466","cluster5485",0,0,0,"N",0,"",""
"26131","NVE14638","Gene.22467::NVE14638::g.22467::m.22467","cluster1479",0,0,0,"N",0,"",""
"26132","NVE14639","Gene.22468::NVE14639::g.22468::m.22468","cluster4088",0,0,0,"N",0,"",""
"26133","NVE14641","Gene.22470::NVE14641::g.22470::m.22470","cluster5224",0,0,0,"N",0,"",""
"26134","NVE14641","Gene.22471::NVE14641::g.22471::m.22471","cluster3369",0,0,0,"N",0,"",""
"26135","NVE14641","Gene.22472::NVE14641::g.22472::m.22472","cluster1497",0,0,0,"N",0,"",""
"26136","NVE14641","Gene.22473::NVE14641::g.22473::m.22473","none",0,0,0,"N",0,"",""
"26137","NVE14642","Gene.22474::NVE14642::g.22474::m.22474","cluster8579",0,0,0,"N",0,"",""
"26138","NVE14643","Gene.22475::NVE14643::g.22475::m.22475","cluster1233",0,0,0,"N",0,"",""
"26139","NVE14644","Gene.22476::NVE14644::g.22476::m.22476","cluster3426",0,0,0,"N",0,"",""
"26141","NVE14646","Gene.22479::NVE14646::g.22479::m.22479","cluster2167",0,0,0,"N",0,"",""
"26142","NVE14646","Gene.22480::NVE14646::g.22480::m.22480","cluster6194",0,0,0,"N",0,"",""
"26143","NVE14646","Gene.22481::NVE14646::g.22481::m.22481","cluster1202",0,0,0,"N",2,"",""
"26144","NVE14647","Gene.22482::NVE14647::g.22482::m.22482","cluster1859",0,0,0,"N",0,"",""
"26145","NVE14648","Gene.22483::NVE14648::g.22483::m.22483","cluster3554",0,0,0,"N",0,"",""
"26146","NVE14648","Gene.22484::NVE14648::g.22484::m.22484","cluster5108",0,0,0,"N",1,"",""
"26147","NVE14648","Gene.22485::NVE14648::g.22485::m.22485","cluster5470",0,0,0,"N",0,"",""
"26148","NVE14649","Gene.22486::NVE14649::g.22486::m.22486","cluster200",0,0,0,"N",0,"",""
"26149","NVE14649","Gene.22487::NVE14649::g.22487::m.22487","cluster469",0,0,0,"N",0,"",""
"26150","NVE14651","Gene.22488::NVE14651::g.22488::m.22488","cluster3789",0,0,0,"N",0,"",""
"26151","NVE14651","Gene.22489::NVE14651::g.22489::m.22489","cluster4155",0,0,0,"N",0,"",""
"26152","NVE14651","Gene.22490::NVE14651::g.22490::m.22490","cluster2542",0,0,0,"N",0,"",""
"26153","NVE14651","Gene.22491::NVE14651::g.22491::m.22491","cluster954",0,0,0,"Y",0,"",""
"26154","NVE14652","Gene.22492::NVE14652::g.22492::m.22492","cluster2590",0,0,0,"N",7,"",""
"26155","NVE14654","Gene.22493::NVE14654::g.22493::m.22493","cluster4048",0,0,0,"N",0,"",""
"26156","NVE14655","Gene.22494::NVE14655::g.22494::m.22494","cluster59",0,0,0,"N",0,"",""
"26157","NVE14656","Gene.22495::NVE14656::g.22495::m.22495","cluster3399",0,0,0,"N",0,"",""
"26158","NVE14657","Gene.22496::NVE14657::g.22496::m.22496","cluster224",0,0,0,"N",0,"",""
"26159","NVE14658","Gene.22497::NVE14658::g.22497::m.22497","cluster4921",0,0,0,"N",0,"",""
"26160","NVE14660","Gene.22498::NVE14660::g.22498::m.22498","cluster61",0,0,0,"N",0,"",""
"26161","NVE14660","Gene.22499::NVE14660::g.22499::m.22499","cluster1780",0,0,0,"N",0,"",""
"26162","NVE14661","Gene.22500::NVE14661::g.22500::m.22500","cluster61",0,0,0,"N",0,"",""
"26163","NVE14662","Gene.22501::NVE14662::g.22501::m.22501","cluster61",0,0,0,"N",0,"",""
"26164","NVE14663","Gene.22502::NVE14663::g.22502::m.22502","cluster61",0,0,0,"N",0,"",""
"26165","NVE14663","Gene.22503::NVE14663::g.22503::m.22503","cluster1780",0,0,0,"N",2,"",""
"26166","NVE14664","Gene.22504::NVE14664::g.22504::m.22504","cluster3552",0,0,0,"N",0,"",""
"26167","NVE14665","Gene.22505::NVE14665::g.22505::m.22505","cluster61",0,0,0,"N",0,"",""
"26168","NVE14666","Gene.22506::NVE14666::g.22506::m.22506","cluster61",0,0,0,"N",0,"",""
"26169","NVE14666","Gene.22507::NVE14666::g.22507::m.22507","cluster1881",0,0,0,"N",0,"",""
"26170","NVE14667","Gene.22508::NVE14667::g.22508::m.22508","cluster61",0,0,0,"N",0,"",""
"26171","NVE14668","Gene.22509::NVE14668::g.22509::m.22509","cluster61",0,0,0,"N",0,"",""
"26172","NVE14669","Gene.22510::NVE14669::g.22510::m.22510","cluster61",0,0,0,"N",0,"",""
"26173","NVE14670","Gene.22511::NVE14670::g.22511::m.22511","cluster61",0,1,0,"N",0,"",""
"26174","NVE14670","Gene.22512::NVE14670::g.22512::m.22512","cluster8087",0,1,0,"Y",1,"",""
"26175","NVE14670","Gene.22513::NVE14670::g.22513::m.22513","cluster1881",0,1,0,"N",0,"",""
"26176","NVE14670","Gene.22514::NVE14670::g.22514::m.22514","cluster61",0,1,0,"N",0,"",""
"26178","NVE14672","Gene.22517::NVE14672::g.22517::m.22517","cluster126",0,0,0,"N",1,"",""
"26179","NVE14672","Gene.22518::NVE14672::g.22518::m.22518","cluster589",0,0,0,"N",0,"",""
"26180","NVE14673","Gene.22519::NVE14673::g.22519::m.22519","cluster4008",0,0,0,"N",0,"",""
"26181","NVE14674","Gene.22520::NVE14674::g.22520::m.22520","cluster83",0,0,0,"N",0,"",""
"26182","NVE14675","Gene.22521::NVE14675::g.22521::m.22521","cluster10",0,0,0,"N",0,"",""
"26183","NVE14675","Gene.22522::NVE14675::g.22522::m.22522","cluster744",0,0,0,"N",0,"",""
"26184","NVE14675","Gene.22523::NVE14675::g.22523::m.22523","cluster3155",0,0,0,"N",0,"",""
"26185","NVE14675","Gene.22524::NVE14675::g.22524::m.22524","cluster294",0,0,0,"N",0,"",""
"26186","NVE14676","Gene.22525::NVE14676::g.22525::m.22525","cluster10",0,0,0,"N",0,"",""
"26187","NVE14678","Gene.22527::NVE14678::g.22527::m.22527","cluster5926",0,0,0,"N",1,"",""
"26188","NVE14678","Gene.22528::NVE14678::g.22528::m.22528","cluster152",0,0,0,"N",0,"",""
"26189","NVE14679","Gene.22529::NVE14679::g.22529::m.22529","cluster2362",0,0,0,"N",0,"",""
"26190","NVE14679","Gene.22530::NVE14679::g.22530::m.22530","cluster4202",0,0,0,"N",1,"",""
"26191","NVE14681","Gene.22531::NVE14681::g.22531::m.22531","cluster323",0,0,0,"N",0,"",""
"26192","NVE14683","Gene.22533::NVE14683::g.22533::m.22533","cluster323",0,0,0,"N",0,"",""
"26193","NVE14683","Gene.22534::NVE14683::g.22534::m.22534","cluster8076",0,0,0,"N",0,"",""
"26194","NVE14684","Gene.22535::NVE14684::g.22535::m.22535","cluster323",0,0,0,"Y",0,"",""
"26195","NVE14684","Gene.22536::NVE14684::g.22536::m.22536","cluster1102",0,0,0,"N",1,"",""
"26196","NVE14686","Gene.22537::NVE14686::g.22537::m.22537","cluster323",0,0,0,"N",0,"",""
"26197","NVE14687","Gene.22538::NVE14687::g.22538::m.22538","cluster323",0,0,0,"N",0,"",""
"26198","NVE14687","Gene.22539::NVE14687::g.22539::m.22539","cluster928",0,0,0,"N",0,"",""
"26199","NVE14687","Gene.22540::NVE14687::g.22540::m.22540","cluster605",0,0,0,"N",0,"",""
"26200","NVE14688","Gene.22541::NVE14688::g.22541::m.22541","cluster1509",0,0,0,"N",0,"",""
"26201","NVE14688","Gene.22542::NVE14688::g.22542::m.22542","cluster407",0,0,0,"N",2,"",""
"26202","NVE14689","Gene.22543::NVE14689::g.22543::m.22543","cluster323",0,0,0,"Y",1,"",""
"26203","NVE14690","Gene.22544::NVE14690::g.22544::m.22544","cluster1097",0,0,0,"N",0,"",""
"26204","NVE14691","Gene.22545::NVE14691::g.22545::m.22545","cluster1666",0,0,0,"N",0,"",""
"26205","NVE14692","Gene.22546::NVE14692::g.22546::m.22546","cluster833",0,0,0,"N",0,"",""
"26206","NVE14692","Gene.22547::NVE14692::g.22547::m.22547","cluster833",0,0,0,"N",0,"",""
"26207","NVE14692","Gene.22548::NVE14692::g.22548::m.22548","cluster833",0,0,0,"N",0,"",""
"26208","NVE14693","Gene.22549::NVE14693::g.22549::m.22549","cluster4379",0,0,0,"N",0,"",""
"26209","NVE14694","Gene.22550::NVE14694::g.22550::m.22550","cluster4990",0,0,0,"N",0,"",""
"26210","NVE14696","Gene.22551::NVE14696::g.22551::m.22551","cluster833",0,0,0,"N",0,"",""
"26211","NVE14697","Gene.22552::NVE14697::g.22552::m.22552","cluster1314",0,0,0,"N",0,"",""
"26212","NVE14697","Gene.22553::NVE14697::g.22553::m.22553","cluster6612",0,0,0,"Y",0,"",""
"26213","NVE14698","Gene.22554::NVE14698::g.22554::m.22554","cluster3686",0,0,0,"N",0,"",""
"26214","NVE14698","Gene.22555::NVE14698::g.22555::m.22555","cluster766",0,0,0,"N",0,"",""
"26215","NVE14699","Gene.22556::NVE14699::g.22556::m.22556","cluster797",0,0,0,"N",1,"",""
"26217","NVE14702","Gene.22560::NVE14702::g.22560::m.22560","cluster2012",0,0,0,"N",1,"",""
"26218","NVE14703","Gene.22561::NVE14703::g.22561::m.22561","cluster2012",0,0,0,"N",0,"",""
"26219","NVE14704","Gene.22562::NVE14704::g.22562::m.22562","cluster2360",0,0,0,"N",0,"",""
"26223","NVE14712","Gene.22572::NVE14712::g.22572::m.22572","cluster3028",0,0,0,"N",0,"",""
"26226","NVE14714","Gene.22576::NVE14714::g.22576::m.22576","cluster11",0,0,0,"N",0,"",""
"26227","NVE14715","Gene.22577::NVE14715::g.22577::m.22577","cluster1464",0,0,0,"N",0,"",""
"26228","NVE14715","Gene.22578::NVE14715::g.22578::m.22578","cluster569",0,0,0,"N",0,"",""
"26231","NVE14719","Gene.22584::NVE14719::g.22584::m.22584","cluster352",0,0,0,"N",3,"",""
"26232","NVE14719","Gene.22585::NVE14719::g.22585::m.22585","cluster521",0,0,0,"N",0,"",""
"26234","NVE14724","Gene.22588::NVE14724::g.22588::m.22588","cluster866",0,0,0,"N",0,"",""
"26235","NVE14725","Gene.22589::NVE14725::g.22589::m.22589","cluster1406",0,0,0,"N",0,"",""
"26236","NVE14725","Gene.22590::NVE14725::g.22590::m.22590","cluster6201",0,0,0,"N",0,"",""
"26237","NVE14725","Gene.22591::NVE14725::g.22591::m.22591","cluster3981",0,0,0,"N",0,"",""
"26238","NVE14727","Gene.22593::NVE14727::g.22593::m.22593","cluster1469",0,0,0,"N",1,"",""
"26239","NVE14727","Gene.22594::NVE14727::g.22594::m.22594","cluster8483",0,0,0,"N",0,"",""
"26240","NVE14728","Gene.22595::NVE14728::g.22595::m.22595","cluster5078",0,0,0,"N",6,"",""
"26241","NVE14728","Gene.22596::NVE14728::g.22596::m.22596","cluster8222",0,0,0,"N",0,"",""
"26244","NVE14730","Gene.22600::NVE14730::g.22600::m.22600","cluster101",0,0,0,"N",0,"",""
"26245","NVE14730","Gene.22601::NVE14730::g.22601::m.22601","cluster1272",0,0,0,"N",0,"",""
"26247","NVE14733","Gene.22605::NVE14733::g.22605::m.22605","cluster9",0,0,0,"N",0,"",""
"26248","NVE14733","Gene.22606::NVE14733::g.22606::m.22606","cluster44",0,0,0,"N",0,"",""
"26249","NVE14733","Gene.22607::NVE14733::g.22607::m.22607","cluster8580",0,0,0,"N",0,"",""
"26250","NVE14733","Gene.22608::NVE14733::g.22608::m.22608","cluster1707",0,0,0,"N",3,"",""
"26251","NVE14733","Gene.22609::NVE14733::g.22609::m.22609","cluster129",0,0,0,"N",0,"",""
"26252","NVE14734","Gene.22610::NVE14734::g.22610::m.22610","cluster9",0,0,0,"N",0,"",""
"26253","NVE14735","Gene.22611::NVE14735::g.22611::m.22611","cluster5595",0,0,1,"N",0,"",""
"26254","NVE14736","Gene.22612::NVE14736::g.22612::m.22612","cluster1419",0,0,0,"N",0,"",""
"26255","NVE14736","Gene.22613::NVE14736::g.22613::m.22613","cluster328",0,0,0,"N",0,"",""
"26256","NVE14737","Gene.22614::NVE14737::g.22614::m.22614","cluster933",0,0,0,"N",0,"",""
"26257","NVE14739","Gene.22615::NVE14739::g.22615::m.22615","cluster507",0,0,0,"N",0,"",""
"26258","NVE14739","Gene.22616::NVE14739::g.22616::m.22616","cluster1589",0,0,0,"N",0,"",""
"26259","NVE14740","Gene.22617::NVE14740::g.22617::m.22617","cluster81",0,0,0,"N",7,"",""
"26260","NVE14741","Gene.22618::NVE14741::g.22618::m.22618","cluster284",0,0,0,"N",0,"",""
"26261","NVE14742","Gene.22619::NVE14742::g.22619::m.22619","cluster763",0,0,0,"N",0,"",""
"26262","NVE14742","Gene.22620::NVE14742::g.22620::m.22620","cluster618",0,0,0,"N",0,"",""
"26263","NVE14743","Gene.22621::NVE14743::g.22621::m.22621","cluster5030",0,0,0,"N",0,"",""
"26264","NVE14744","Gene.22622::NVE14744::g.22622::m.22622","cluster2388",0,0,0,"N",1,"",""
"26265","NVE14745","Gene.22623::NVE14745::g.22623::m.22623","cluster1495",0,0,0,"N",0,"",""
"26266","NVE14747","Gene.22625::NVE14747::g.22625::m.22625","cluster1118",0,0,0,"N",0,"",""
"26270","NVE14750","Gene.22631::NVE14750::g.22631::m.22631","cluster5912",0,0,0,"N",0,"",""
"26271","NVE14751","Gene.22632::NVE14751::g.22632::m.22632","cluster743",0,0,0,"N",0,"",""
"26272","NVE14753","Gene.22634::NVE14753::g.22634::m.22634","cluster4307",0,0,0,"N",0,"",""
"26273","NVE14754","Gene.22635::NVE14754::g.22635::m.22635","cluster4425",0,0,0,"N",9,"",""
"26274","NVE14755","Gene.22636::NVE14755::g.22636::m.22636","cluster1010",0,0,0,"N",0,"",""
"26275","NVE14755","Gene.22637::NVE14755::g.22637::m.22637","cluster774",0,0,0,"N",0,"",""
"26276","NVE14756","Gene.22638::NVE14756::g.22638::m.22638","cluster774",0,0,0,"N",0,"",""
"26277","NVE14756","Gene.22639::NVE14756::g.22639::m.22639","cluster1586",0,0,0,"N",0,"",""
"26278","NVE14756","Gene.22640::NVE14756::g.22640::m.22640","cluster1415",0,0,0,"N",0,"",""
"26280","NVE14759","Gene.22644::NVE14759::g.22644::m.22644","cluster1857",0,0,0,"N",6,"",""
"26282","NVE14761","Gene.22647::NVE14761::g.22647::m.22647","cluster6673",0,0,0,"N",0,"",""
"26283","NVE14763","Gene.22649::NVE14763::g.22649::m.22649","cluster1276",0,0,0,"Y",1,"",""
"26285","NVE14765","Gene.22652::NVE14765::g.22652::m.22652","cluster3298",0,0,0,"N",1,"",""
"26286","NVE14768","Gene.22655::NVE14768::g.22655::m.22655","cluster1592",0,0,0,"Y",0,"",""
"26287","NVE14770","Gene.22657::NVE14770::g.22657::m.22657","cluster363",0,0,0,"N",9,"",""
"26288","NVE14770","Gene.22658::NVE14770::g.22658::m.22658","cluster688",0,0,0,"N",0,"",""
"26289","NVE14772","Gene.22660::NVE14772::g.22660::m.22660","cluster3272",0,0,0,"N",0,"",""
"26290","NVE14772","Gene.22661::NVE14772::g.22661::m.22661","cluster3774",0,0,0,"N",0,"",""
"26291","NVE14773","Gene.22662::NVE14773::g.22662::m.22662","cluster5643",0,0,0,"N",1,"",""
"26292","NVE14776","Gene.22664::NVE14776::g.22664::m.22664","cluster833",0,0,0,"N",0,"",""
"26293","NVE14776","Gene.22665::NVE14776::g.22665::m.22665","cluster4312",0,0,0,"N",0,"",""
"26294","NVE14778","Gene.22667::NVE14778::g.22667::m.22667","cluster690",0,0,0,"N",0,"",""
"26295","NVE14780","Gene.22668::NVE14780::g.22668::m.22668","cluster1352",0,0,1,"N",0,"",""
"26296","NVE14782","Gene.22669::NVE14782::g.22669::m.22669","cluster1009",0,0,0,"N",0,"",""
"26297","NVE14783","Gene.22670::NVE14783::g.22670::m.22670","cluster1009",0,0,0,"N",0,"",""
"26298","NVE14784","Gene.22671::NVE14784::g.22671::m.22671","cluster21",0,0,0,"N",1,"",""
"26299","NVE14784","Gene.22672::NVE14784::g.22672::m.22672","cluster2635",0,0,0,"N",0,"",""
"26300","NVE14785","Gene.22673::NVE14785::g.22673::m.22673","cluster56",0,0,0,"N",0,"",""
"26301","NVE14786","Gene.22674::NVE14786::g.22674::m.22674","cluster5097",0,0,0,"Y",1,"",""
"26302","NVE14787","Gene.22675::NVE14787::g.22675::m.22675","cluster13",0,0,0,"N",0,"",""
"26303","NVE14787","Gene.22676::NVE14787::g.22676::m.22676","cluster6363",0,0,0,"N",0,"",""
"26304","NVE14789","Gene.22678::NVE14789::g.22678::m.22678","cluster291",0,0,0,"N",0,"",""
"26305","NVE14789","Gene.22679::NVE14789::g.22679::m.22679","cluster7872",0,0,0,"N",1,"",""
"26306","NVE14789","Gene.22680::NVE14789::g.22680::m.22680","cluster2563",0,0,0,"N",2,"",""
"26308","NVE14791","Gene.22683::NVE14791::g.22683::m.22683","cluster291",0,0,0,"N",0,"",""
"26309","NVE14792","Gene.22684::NVE14792::g.22684::m.22684","cluster53",0,0,0,"N",0,"",""
"26312","NVE14795","Gene.22689::NVE14795::g.22689::m.22689","cluster5562",0,0,0,"N",0,"",""
"26313","NVE14795","Gene.22690::NVE14795::g.22690::m.22690","cluster3812",0,0,0,"N",1,"",""
"26314","NVE14796","Gene.22691::NVE14796::g.22691::m.22691","cluster291",0,0,0,"N",0,"",""
"26315","NVE14796","Gene.22692::NVE14796::g.22692::m.22692","cluster1914",0,0,0,"N",0,"",""
"26316","NVE14798","Gene.22693::NVE14798::g.22693::m.22693","cluster21",0,0,0,"N",0,"",""
"26319","NVE14802","Gene.22697::NVE14802::g.22697::m.22697","cluster3134",0,0,0,"N",0,"",""
"26321","NVE14808","Gene.22701::NVE14808::g.22701::m.22701","cluster1217",0,0,0,"N",0,"",""
"26322","NVE14808","Gene.22702::NVE14808::g.22702::m.22702","cluster2377",0,0,0,"N",0,"",""
"26323","NVE14809","Gene.22703::NVE14809::g.22703::m.22703","cluster1217",0,0,0,"N",0,"",""
"26324","NVE14810","Gene.22704::NVE14810::g.22704::m.22704","cluster5004",0,0,0,"N",0,"",""
"26325","NVE14811","Gene.22705::NVE14811::g.22705::m.22705","cluster373",0,0,0,"N",0,"",""
"26326","NVE14811","Gene.22706::NVE14811::g.22706::m.22706","cluster2022",0,0,0,"N",0,"",""
"26327","NVE14812","Gene.22707::NVE14812::g.22707::m.22707","cluster4008",0,0,0,"N",0,"",""
"26328","NVE14813","Gene.22708::NVE14813::g.22708::m.22708","cluster1605",0,0,0,"N",1,"",""
"26329","NVE14814","Gene.22709::NVE14814::g.22709::m.22709","cluster144",0,0,0,"N",0,"",""
"26331","NVE14816","Gene.22712::NVE14816::g.22712::m.22712","cluster3688",0,0,0,"N",1,"",""
"26332","NVE14816","Gene.22713::NVE14816::g.22713::m.22713","cluster6276",0,0,0,"N",3,"",""
"26333","NVE14816","Gene.22714::NVE14816::g.22714::m.22714","cluster7118",0,0,0,"N",0,"",""
"26334","NVE14816","Gene.22715::NVE14816::g.22715::m.22715","cluster381",0,0,0,"N",0,"",""
"26336","NVE14820","Gene.22718::NVE14820::g.22718::m.22718","cluster490",0,0,0,"N",0,"",""
"26337","NVE14820","Gene.22719::NVE14820::g.22719::m.22719","cluster3127",0,0,0,"N",0,"",""
"26338","NVE14820","Gene.22720::NVE14820::g.22720::m.22720","cluster1832",0,0,0,"N",0,"",""
"26339","NVE14821","Gene.22721::NVE14821::g.22721::m.22721","cluster762",0,0,0,"N",0,"",""
"26340","NVE14821","Gene.22722::NVE14821::g.22722::m.22722","cluster3257",0,0,0,"N",3,"",""
"26341","NVE14822","Gene.22723::NVE14822::g.22723::m.22723","cluster1015",0,0,0,"N",1,"",""
"26342","NVE14823","Gene.22724::NVE14823::g.22724::m.22724","cluster5009",0,0,0,"N",0,"",""
"26343","NVE14823","Gene.22725::NVE14823::g.22725::m.22725","cluster3337",0,0,0,"N",0,"",""
"26344","NVE14824","Gene.22726::NVE14824::g.22726::m.22726","cluster5009",0,0,0,"N",0,"",""
"26346","NVE14826","Gene.22729::NVE14826::g.22729::m.22729","cluster7542",0,0,0,"N",0,"",""
"26347","NVE14826","Gene.22730::NVE14826::g.22730::m.22730","cluster1215",0,0,0,"N",0,"",""
"26349","NVE14833","Gene.22738::NVE14833::g.22738::m.22738","cluster69",0,0,0,"N",0,"",""
"26350","NVE14835","Gene.22740::NVE14835::g.22740::m.22740","cluster2867",0,0,0,"N",0,"",""
"26351","NVE14835","Gene.22741::NVE14835::g.22741::m.22741","cluster4299",0,0,0,"N",0,"",""
"26352","NVE14836","Gene.22742::NVE14836::g.22742::m.22742","cluster3953",0,0,0,"Y",0,"",""
"26353","NVE14837","Gene.22743::NVE14837::g.22743::m.22743","cluster5978",0,0,0,"N",0,"",""
"26354","NVE14838","Gene.22744::NVE14838::g.22744::m.22744","cluster62",0,0,0,"N",1,"",""
"26355","NVE14839","Gene.22745::NVE14839::g.22745::m.22745","cluster434",0,0,0,"N",1,"",""
"26356","NVE14841","Gene.22747::NVE14841::g.22747::m.22747","cluster62",0,0,0,"N",2,"",""
"26358","NVE14843","Gene.22750::NVE14843::g.22750::m.22750","cluster944",0,0,0,"N",0,"",""
"26360","NVE14845","Gene.22753::NVE14845::g.22753::m.22753","cluster3989",0,0,0,"Y",1,"",""
"26363","NVE14847","Gene.22757::NVE14847::g.22757::m.22757","cluster1330",0,0,0,"N",2,"",""
"26365","NVE14849","Gene.22761::NVE14849::g.22761::m.22761","cluster563",0,0,0,"N",0,"",""
"26366","NVE14850","Gene.22762::NVE14850::g.22762::m.22762","cluster3290",0,0,0,"N",10,"",""
"26367","NVE14851","Gene.22763::NVE14851::g.22763::m.22763","cluster181",0,0,0,"N",0,"",""
"26368","NVE14852","Gene.22764::NVE14852::g.22764::m.22764","cluster136",0,0,0,"N",1,"",""
"26372","NVE14855","Gene.22769::NVE14855::g.22769::m.22769","cluster20",0,0,0,"Y",0,"",""
"26373","NVE14855","Gene.22770::NVE14855::g.22770::m.22770","cluster579",0,0,0,"N",2,"",""
"26374","NVE14855","Gene.22771::NVE14855::g.22771::m.22771","cluster610",0,0,0,"N",1,"",""
"26375","NVE14856","Gene.22772::NVE14856::g.22772::m.22772","cluster3969",0,0,0,"N",1,"",""
"26376","NVE14857","Gene.22773::NVE14857::g.22773::m.22773","cluster2045",0,0,0,"N",0,"",""
"26377","NVE14857","Gene.22774::NVE14857::g.22774::m.22774","cluster310",0,0,0,"N",0,"",""
"26378","NVE14858","Gene.22775::NVE14858::g.22775::m.22775","cluster1616",0,0,0,"Y",0,"",""
"26379","NVE14859","Gene.22776::NVE14859::g.22776::m.22776","cluster627",0,0,0,"N",0,"",""
"26380","NVE14859","Gene.22777::NVE14859::g.22777::m.22777","cluster2520",0,0,0,"N",0,"",""
"26381","NVE14860","Gene.22778::NVE14860::g.22778::m.22778","cluster7503",0,0,0,"N",0,"",""
"26382","NVE14861","Gene.22779::NVE14861::g.22779::m.22779","cluster282",0,0,0,"N",0,"",""
"26383","NVE14861","Gene.22780::NVE14861::g.22780::m.22780","cluster7288",0,0,0,"N",1,"",""
"26384","NVE14861","Gene.22781::NVE14861::g.22781::m.22781","cluster4265",0,0,0,"N",1,"",""
"26385","NVE14862","Gene.22782::NVE14862::g.22782::m.22782","cluster207",0,0,0,"N",0,"",""
"26386","NVE14862","Gene.22783::NVE14862::g.22783::m.22783","cluster147",0,0,0,"N",0,"",""
"26388","NVE14864","Gene.22786::NVE14864::g.22786::m.22786","cluster193",0,0,0,"N",1,"",""
"26389","NVE14865","Gene.22787::NVE14865::g.22787::m.22787","cluster6566",0,0,0,"N",0,"",""
"26390","NVE14866","Gene.22788::NVE14866::g.22788::m.22788","cluster758",0,0,0,"Y",0,"",""
"26391","NVE14866","Gene.22789::NVE14866::g.22789::m.22789","cluster3067",0,0,0,"N",0,"",""
"26392","NVE14867","Gene.22790::NVE14867::g.22790::m.22790","cluster19",0,0,0,"N",1,"",""
"26393","NVE14867","Gene.22791::NVE14867::g.22791::m.22791","cluster4846",0,0,0,"N",0,"",""
"26398","NVE14869","Gene.22797::NVE14869::g.22797::m.22797","cluster361",0,0,0,"N",0,"",""
"26399","NVE14869","Gene.22798::NVE14869::g.22798::m.22798","cluster101",0,0,0,"N",0,"",""
"26400","NVE14869","Gene.22799::NVE14869::g.22799::m.22799","cluster4206",0,0,0,"N",0,"",""
"26401","NVE14870","Gene.22800::NVE14870::g.22800::m.22800","cluster3819",0,0,0,"N",0,"",""
"26402","NVE14871","Gene.22801::NVE14871::g.22801::m.22801","cluster3833",0,0,0,"N",0,"",""
"26403","NVE14872","Gene.22802::NVE14872::g.22802::m.22802","cluster124",0,0,0,"N",0,"",""
"26404","NVE14872","Gene.22803::NVE14872::g.22803::m.22803","cluster4962",0,0,0,"N",0,"",""
"26405","NVE14872","Gene.22804::NVE14872::g.22804::m.22804","cluster4213",0,0,0,"N",0,"",""
"26406","NVE14872","Gene.22805::NVE14872::g.22805::m.22805","cluster1965",0,0,0,"N",0,"",""
"26407","NVE14872","Gene.22806::NVE14872::g.22806::m.22806","cluster201",0,0,0,"N",0,"",""
"26408","NVE14872","Gene.22807::NVE14872::g.22807::m.22807","cluster2319",0,0,0,"N",0,"",""
"26409","NVE14874","Gene.22808::NVE14874::g.22808::m.22808","cluster130",0,0,0,"N",0,"",""
"26410","NVE14874","Gene.22809::NVE14874::g.22809::m.22809","cluster3323",0,0,0,"N",0,"",""
"26411","NVE14874","Gene.22810::NVE14874::g.22810::m.22810","cluster8585",0,0,0,"N",0,"",""
"26412","NVE14874","Gene.22811::NVE14874::g.22811::m.22811","cluster3821",0,0,0,"N",0,"",""
"26413","NVE14874","Gene.22812::NVE14874::g.22812::m.22812","cluster8586",0,0,0,"N",1,"",""
"26414","NVE14874","Gene.22813::NVE14874::g.22813::m.22813","cluster5880",0,0,0,"Y",0,"",""
"26415","NVE14874","Gene.22814::NVE14874::g.22814::m.22814","cluster8587",0,0,0,"Y",0,"",""
